Id. de problema,Descripción,Estado,Gravedad,Puntos de la historia,Ruta de acceso del proyecto,Tipo de ubicación,Ruta de acceso,Línea,Columna,Id. de incidente,Vínculo de ayuda,Nombre del ensamblado,Versión de ensamblado,Clave pública de ensamblado,Fragmento
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,116,12,M:System.Windows.Forms.FlowLayoutPanel.#ctor,,,,,"var panel = new FlowLayoutPanel              {                  Dock = DockStyle.Fill,                  AutoSize = true,                  FlowDirection = FlowDirection.RightToLeft,              };"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,68,8,T:System.Windows.Forms.Control,,,,,"private static Control BuildGroup(              string title,              (string Label, string Value)[] options,              List<RadioButton> radios,              string selectedValue)"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,110,12,T:System.Windows.Forms.Control.ControlCollection,,,,,group.Controls.Add(panel);
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,110,12,P:System.Windows.Forms.Control.Controls,,,,,group.Controls.Add(panel);
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,110,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,group.Controls.Add(panel);
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,107,16,T:System.Windows.Forms.RadioButton,,,,,radios[0].Checked = true;
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,107,16,P:System.Windows.Forms.RadioButton.Checked,,,,,radios[0].Checked = true;
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,105,12,P:System.Windows.Forms.RadioButton.Checked,,,,,if (!radios.Any(r => r.Checked) && radios.Count > 0)              {                  radios[0].Checked = true;              }
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,101,16,T:System.Windows.Forms.Control.ControlCollection,,,,,panel.Controls.Add(rb);
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,101,16,P:System.Windows.Forms.Control.Controls,,,,,panel.Controls.Add(rb);
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,101,16,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,panel.Controls.Add(rb);
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,99,20,P:System.Windows.Forms.RadioButton.Checked,,,,,rb.Checked = true;
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,91,16,P:System.Windows.Forms.Control.Tag,,,,,"var rb = new RadioButton                  {                      Text = option.Label,                      AutoSize = true,                      Tag = option.Value,                  };"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,91,16,P:System.Windows.Forms.ButtonBase.AutoSize,,,,,"var rb = new RadioButton                  {                      Text = option.Label,                      AutoSize = true,                      Tag = option.Value,                  };"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,91,16,P:System.Windows.Forms.ButtonBase.Text,,,,,"var rb = new RadioButton                  {                      Text = option.Label,                      AutoSize = true,                      Tag = option.Value,                  };"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,91,16,T:System.Windows.Forms.RadioButton,,,,,"var rb = new RadioButton                  {                      Text = option.Label,                      AutoSize = true,                      Tag = option.Value,                  };"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,91,16,M:System.Windows.Forms.RadioButton.#ctor,,,,,"var rb = new RadioButton                  {                      Text = option.Label,                      AutoSize = true,                      Tag = option.Value,                  };"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,81,12,P:System.Windows.Forms.FlowLayoutPanel.WrapContents,,,,,"var panel = new FlowLayoutPanel              {                  Dock = DockStyle.Fill,                  AutoSize = true,                  FlowDirection = FlowDirection.LeftToRight,                  WrapContents = true,              };"
